Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
P13395,1.532,7.495,3.66,3.784
Q8MMD2,1.705,3.701,2.268,2.191
Q9VEA1,-1.127,3.438,4.769,4.166
P06754,3.75,11.89,3.903,3.324
X2JFG0,-1.363,7.917,0.573,1.65
Q2EZ47,-1.368,7.964,0.61,1.781
Q6AWN0,1.514,13.107,4.138,2.987
F6J1D0,0.741,0.582,5.488,4.216
Q9NHX7,-1.346,7.87,3.819,4.204
Q9VCI3,1.008,3.024,3.927,2.155
Q4AB54,-0.014,0.017,1.269,4.385
Q8SZS4,-0.901,1.693,-1.799,5.065
Q9VVU1,1.008,11.814,4.208,3.405
B7FNR1,0.928,3.099,1.943,3.192
Q9VLT7,-1.675,12.102,5.668,7.068
Q9VQG4,1.348,7.543,3.358,2.701
H5V888,2.402,10.644,3.313,2.578
Q9VKU1,1.984,9.595,3.984,2.633
O77134,3.146,4.428,4.439,4.596
Q9VLB7,-0.505,7.663,4.473,3.363
Q8SWX4,2.669,6.015,5.941,3.114
Q9VSS1,-0.528,5.896,3.536,4.555
Q9VCK6,0.154,1.018,2.769,1.283
Q9VFC8,1.522,12.784,3.447,3.751
M9MSN9,0.229,0.086,0.949,2.201
P35381,2.544,11.813,5.867,5.426
Q9VMR6,0.397,2.363,1.72,0.303
Q9VEQ2,-1.359,7.408,1.996,3.324
Q7JWR9,-1.281,11.216,3.126,2.684
Q9W445,-1.106,2.719,2.06,3.372
Q7K4T8,1.794,5.755,3.119,2.675
Q8MT27,2.143,1.274,0.472,2.294
P16914,-0.239,0.616,0.046,2.132
M9PFN1,-2.05,7.949,2.47,2.926
P21914,3.638,10.59,5.742,3.887
M9NEL1,1.106,6.372,3.516,1.294
Q9V426,-2.126,5.527,3.475,3.259
Q9VRJ4,1.856,7.494,3.579,1.77
Q9VVC5,3.165,10.396,5.29,3.436
Q9VHN7,1.247,9.795,5.37,4.247
Q24439,2.482,8.35,5.857,4.807
O77430,-0.301,2.007,3.672,5.147
Q9VD66,-0.424,0.725,5.676,-1.03
Q7KN85,0.493,8.709,4.252,3.245
V9GZU6,2.131,7.455,3.152,2.426
P17336,3.81,13.265,5.562,3.275
Q23972,-0.526,0.495,3.121,4.14
M9PFG7,-1.124,13.434,2.935,2.798
Q9VA73,0.924,9.282,3.635,1.935
Q9VEN3,-1.106,6.853,2.902,2.541
Q6NP72,1.36,4.439,3.863,3.43
Q9V9A9,3.227,11.687,4.723,2.035
Q9VQ76,-1.594,8.35,1.669,2.307
Q9VJG0,-1.277,6.643,2.933,2.617
P14318,1.393,5.042,5.852,6.047
P47948,1.074,4.118,3.855,4.942
Q94516,2.678,7.634,5.965,5.804
Q7PLB8,1.212,1.085,3.526,0.27
Q95TK5,1.244,8.03,2.105,1.913
E1JJM9,-1.247,8.185,5.723,7.02
H0RN81,-1.047,7.13,6.053,5.785
Q9VLN6,1.279,6.629,1.593,2.129
Q9VTB4,2.05,6.242,3.763,3.732
Q9VN25,-1.08,13.839,3.753,3.729
E2QC56,-0.874,1.986,3.041,4.055
Q9VZQ3,1.104,4.889,3.169,2.639
Q9Y105,-1.481,8.571,2.56,1.939
Q9VGX3,2.083,10.572,4.788,3.766
Q9V7N5,1.189,7.61,4.4,3.567
Q8INH6,-1.064,5.84,3.71,2.808
P53997,-2.095,9.937,3.516,4.601
Q9V3W7,-0.759,5.594,3.122,4.126
Q7KSN8,0.455,0.742,0.334,1.688
Q9VWV2,1.229,11.894,3.379,2.74
E1JJF9,1.006,3.359,2.512,3.141
H8F4T6,1.026,10.045,2.118,1.794
Q59E09,3.417,13.418,4.549,3.262
Q02645,1.021,3.839,2.147,2.536
P09491,3.668,11.657,5.518,4.471
Q9VP57,1.005,6.817,2.61,3.842
P48592,-3.378,5.049,2.01,4.474
